image,image_name,error_type,gt_class_id,gt_class,pred_class_id,pred_class,conf,iou,gt_xyxy,pred_xyxy,visualization
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_189.jpg,crazing_189.jpg,false_positive,,,0,crazing,0.172991,,,137.59 126.54 199.00 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_189.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_189.jpg,crazing_189.jpg,false_positive,,,0,crazing,0.170361,,,0.00 61.27 133.00 138.06,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_189.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_189.jpg,crazing_189.jpg,false_positive,,,0,crazing,0.131718,,,0.00 92.53 129.86 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_189.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_192.jpg,crazing_192.jpg,false_positive,,,0,crazing,0.568852,,,141.37 128.40 199.00 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_192.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_192.jpg,crazing_192.jpg,false_positive,,,0,crazing,0.281099,,,78.95 0.15 199.00 50.03,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_192.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_192.jpg,crazing_192.jpg,false_positive,,,0,crazing,0.190607,,,3.38 128.05 194.08 198.53,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_192.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_192.jpg,crazing_192.jpg,false_positive,,,0,crazing,0.157450,,,136.99 0.29 199.00 117.99,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_192.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_192.jpg,crazing_192.jpg,false_positive,,,0,crazing,0.145309,,,5.95 3.43 199.00 78.27,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_192.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_192.jpg,crazing_192.jpg,false_positive,,,0,crazing,0.128064,,,1.70 94.29 117.05 193.08,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_192.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_192.jpg,crazing_192.jpg,false_positive,,,0,crazing,0.120651,,,34.64 74.03 115.48 146.47,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_192.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_2.jpg,crazing_2.jpg,bad_location,0,crazing,0,crazing,0.292396,0.457710,99.00 120.00 199.00 174.00,96.26 88.39 199.00 160.08,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_2.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_2.jpg,crazing_2.jpg,false_positive,,,0,crazing,0.448234,,,89.99 38.38 199.00 163.05,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_2.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_2.jpg,crazing_2.jpg,false_positive,,,0,crazing,0.349235,,,77.33 1.43 199.00 102.06,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_2.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_203.jpg,crazing_203.jpg,bad_location,0,crazing,0,crazing,0.111539,0.431823,44.00 10.00 170.00 76.00,8.90 0.21 171.13 48.76,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_203.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_203.jpg,crazing_203.jpg,bad_location,0,crazing,0,crazing,0.101746,0.378571,19.00 79.00 148.00 168.00,8.63 123.48 173.74 180.60,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_203.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_203.jpg,crazing_203.jpg,false_positive,,,0,crazing,0.440608,,,1.74 125.19 185.74 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_203.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_203.jpg,crazing_203.jpg,false_positive,,,0,crazing,0.332051,,,11.10 13.68 192.29 121.64,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_203.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_203.jpg,crazing_203.jpg,false_positive,,,0,crazing,0.154757,,,21.02 15.31 99.55 113.95,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_203.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_203.jpg,crazing_203.jpg,false_positive,,,0,crazing,0.149796,,,50.35 124.37 199.00 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_203.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_203.jpg,crazing_203.jpg,false_positive,,,0,crazing,0.114048,,,0.19 126.22 125.30 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_203.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_209.jpg,crazing_209.jpg,bad_location,0,crazing,0,crazing,0.434883,0.427879,3.00 3.00 148.00 56.00,0.00 0.52 145.75 121.02,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_209.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_209.jpg,crazing_209.jpg,bad_location,0,crazing,0,crazing,0.426760,0.292361,11.00 50.00 162.00 175.00,25.24 125.17 177.62 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_209.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_218.jpg,crazing_218.jpg,bad_location,0,crazing,0,crazing,0.297178,0.252047,36.00 143.00 175.00 181.00,105.31 107.36 199.00 191.38,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_218.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_218.jpg,crazing_218.jpg,bad_location,0,crazing,0,crazing,0.409695,0.123226,91.00 16.00 198.00 56.00,7.74 21.31 153.90 128.13,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_218.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_222.jpg,crazing_222.jpg,false_positive,,,0,crazing,0.331102,,,0.00 0.63 197.95 109.53,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_222.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_222.jpg,crazing_222.jpg,false_positive,,,0,crazing,0.289154,,,14.67 117.95 197.67 198.82,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_222.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_222.jpg,crazing_222.jpg,false_positive,,,0,crazing,0.184336,,,1.05 27.61 186.01 111.61,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_222.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_222.jpg,crazing_222.jpg,false_positive,,,0,crazing,0.142893,,,4.27 0.19 199.00 78.63,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_222.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_222.jpg,crazing_222.jpg,false_positive,,,0,crazing,0.108289,,,3.89 119.25 150.81 176.60,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_222.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_230.jpg,crazing_230.jpg,bad_location,0,crazing,0,crazing,0.307859,0.309375,36.00 28.00 181.00 107.00,0.75 2.14 150.93 73.62,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_230.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_230.jpg,crazing_230.jpg,false_positive,,,0,crazing,0.395504,,,38.76 95.04 175.15 178.39,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_230.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_230.jpg,crazing_230.jpg,false_positive,,,0,crazing,0.308387,,,3.28 145.36 190.81 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_230.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_237.jpg,crazing_237.jpg,bad_location,0,crazing,0,crazing,0.123181,0.457379,69.00 7.00 143.00 189.00,36.51 9.43 156.26 125.49,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_237.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_237.jpg,crazing_237.jpg,false_positive,,,0,crazing,0.355850,,,0.10 109.35 96.66 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_237.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_237.jpg,crazing_237.jpg,false_positive,,,0,crazing,0.118219,,,15.35 43.84 156.78 126.93,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_237.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_238.jpg,crazing_238.jpg,false_positive,,,0,crazing,0.493136,,,0.34 134.32 146.51 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_238.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_238.jpg,crazing_238.jpg,false_positive,,,0,crazing,0.372721,,,2.13 71.09 190.77 151.27,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_238.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_238.jpg,crazing_238.jpg,false_positive,,,0,crazing,0.331128,,,48.66 0.18 194.95 49.35,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_238.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_238.jpg,crazing_238.jpg,false_positive,,,0,crazing,0.242827,,,52.73 7.74 198.67 103.92,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_238.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_244.jpg,crazing_244.jpg,false_positive,,,0,crazing,0.361616,,,8.28 0.17 198.17 42.69,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_244.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_244.jpg,crazing_244.jpg,false_positive,,,0,crazing,0.156940,,,89.05 100.78 199.00 192.96,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_244.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_244.jpg,crazing_244.jpg,false_positive,,,0,crazing,0.154718,,,5.37 15.25 191.98 122.08,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_244.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_244.jpg,crazing_244.jpg,false_positive,,,0,crazing,0.132875,,,1.21 54.63 195.46 177.09,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_244.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_249.jpg,crazing_249.jpg,false_positive,,,0,crazing,0.427537,,,0.10 10.07 125.04 115.25,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_249.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_249.jpg,crazing_249.jpg,false_positive,,,0,crazing,0.417075,,,0.23 85.73 100.39 175.38,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_249.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_249.jpg,crazing_249.jpg,false_positive,,,0,crazing,0.197797,,,0.92 110.71 182.63 188.17,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_249.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_249.jpg,crazing_249.jpg,false_positive,,,0,crazing,0.150253,,,0.00 21.12 96.11 177.31,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_249.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_249.jpg,crazing_249.jpg,false_positive,,,0,crazing,0.133373,,,0.40 82.84 187.97 179.32,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_249.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_249.jpg,crazing_249.jpg,false_positive,,,0,crazing,0.129346,,,0.28 57.20 122.83 113.53,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_249.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_253.jpg,crazing_253.jpg,bad_location,0,crazing,0,crazing,0.491312,0.464762,87.00 101.00 196.00 197.00,26.78 77.90 184.77 195.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_253.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_253.jpg,crazing_253.jpg,bad_location,0,crazing,0,crazing,0.102435,0.423215,31.00 14.00 183.00 134.00,46.01 55.96 197.16 173.15,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_253.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_253.jpg,crazing_253.jpg,bad_location,0,crazing,0,crazing,0.322899,0.418797,131.00 2.00 193.00 70.00,80.90 0.00 194.96 48.30,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_253.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_253.jpg,crazing_253.jpg,false_positive,,,0,crazing,0.125237,,,1.43 45.24 107.55 134.27,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_253.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_272.jpg,crazing_272.jpg,bad_location,0,crazing,0,crazing,0.134421,0.483422,2.00 52.00 125.00 120.00,2.68 37.14 167.35 141.35,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/bad_location/crazing/crazing_272.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_272.jpg,crazing_272.jpg,false_positive,,,0,crazing,0.687752,,,5.85 0.00 199.00 97.93,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_272.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_272.jpg,crazing_272.jpg,false_positive,,,0,crazing,0.319939,,,51.21 0.00 199.00 86.64,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_272.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_272.jpg,crazing_272.jpg,false_positive,,,0,crazing,0.206223,,,9.95 101.49 196.24 162.11,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_272.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_272.jpg,crazing_272.jpg,false_positive,,,0,crazing,0.201624,,,6.56 121.13 192.05 163.79,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_272.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_272.jpg,crazing_272.jpg,false_positive,,,0,crazing,0.172473,,,7.14 75.11 196.70 159.95,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_272.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_272.jpg,crazing_272.jpg,false_positive,,,0,crazing,0.150725,,,105.82 139.99 189.09 199.00,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_272.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_272.jpg,crazing_272.jpg,false_positive,,,0,crazing,0.128343,,,87.90 0.00 199.00 80.31,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_272.jpg
/home/kdy/pycharm_prj/defact_detection/data/yolo/images/test/crazing_283.jpg,crazing_283.jpg,false_positive,,,0,crazing,0.123240,,,42.81 0.02 149.12 39.11,/home/kdy/pycharm_prj/defact_detection/outputs/error_analysis/visual_cases/false_positive/crazing/crazing_283.jpg
